PIC50_RET wild,can_smile,id,id_new,smiles
7.034798299,CCOc1cc(-c2ccc(N3CCC(CN4CCOCC4)(NC(=O)C4(OC)CC4)CC3)nc2)c2c(C#N)cnn2c1,33059688,patent_33059688,CCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CN=C(C=C1)N1CCC(CN2CCOCC2)(CC1)NC(=O)C1(CC1)OC
7.033858267,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCC(=O)N1CCCCCC1,,reaxys_28252606,COC1=C(OCC(=O)N2CCCCCC2)C=C2N=CN=C(NC3=C(C)C(O)=CC=C3F)C2=C1
7.032452024,CCOc1cc(-c2ccc(N3CCN(C(=O)C(c4ccc(F)cc4)N(C)C)CC3)nc2)c2c(C#N)cnn2c1,32852997,patent_32852997,CCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CC=C(N=C1)N1CCN(CC1)C(=O)C(N(C)C)C1=CC=C(F)C=C1
7.031517051,CCOc1cc(-c2ccc(N3CCC4(CC3)CN4C(=O)c3ccccc3)nc2)c2c(C#N)cnn2c1,32853300,patent_32853300,CCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CC=C(N=C1)N1CCC2(CN2C(=O)C2=CC=CC=C2)CC1
7.031517051,CCOc1cc(-c2ccc(N3C[C@@H]4C[C@H](C3)[C@@H]4N)nc2)c2c(C#N)cnn2c1,33059506,patent_33059506,[H][C@]12C[C@]([H])(CN(C1)C1=CC=C(C=N1)C1=CC(OCC)=CN3N=CC(C#N)=C13)[C@@H]2N
7.030584088,CCOc1cc(-c2ccc(N3CCN(C(=O)C(CN(C)C)c4ccc(F)cc4)CC3)nc2)c2c(C#N)cnn2c1,32852998,patent_32852998,CCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CC=C(N=C1)N1CCN(CC1)C(=O)C(CN(C)C)C1=CC=C(F)C=C1
7.028724151,Cn1nccc1NC(=O)c1cc2ccc(-c3nn(C(C)(C)C)c4ncnc(N)c34)cc2[nH]1,,reaxys_33664231,CN1N=CC=C1NC(=O)C1=CC2=CC=C(C=C2N1)C1=NN(C2=NC=NC(N)=C12)C(C)(C)C
7.028724151,CNCc1ccc2c(Cl)c(-c3nn(C(C)(C)C)c4ncnc(N)c34)[nH]c2c1,,reaxys_31976598,CNCC1=CC=C2C(NC(=C2Cl)C2=NN(C3=C2C(N)=NC=N3)C(C)(C)C)=C1
7.028724151,CCOc1cc(-c2ccc(N3CC4CC(C3)C4O)nc2)c2c(C#N)cnn2c1,33059181,patent_33059181,CCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CC=C(N=C1)N1CC2CC(C1)C2O
7.028260409,CC(C)(O)COc1cc(-c2ccc(N3CC(Nc4ccc(F)cc4)C3)nc2)c2c(C#N)cnn2c1,33059336,patent_33059336,CC(C)(O)COC1=CN2N=CC(C#N)=C2C(=C1)C1=CC=C(N=C1)N1CC(C1)NC1=CC=C(F)C=C1
7.027334408,CC(C)(C)n1nc(-c2ccc3cc(C(=O)Nc4ccn(CCO)n4)[nH]c3c2)c2c(N)ncnc21,,reaxys_33664245,CC(C)(C)N1N=C(C2=C(N)N=CN=C12)C1=CC=C2C=C(NC2=C1)C(=O)NC1=NN(CCO)C=C1
